2,A,5,1,6,B,C,9,D,E,F,8,3,G,4,7
6,D,8,9,F,7,1,E,G,4,3,2,C,A,B,5
3,F,E,7,D,G,5,4,B,C,1,A,6,8,9,2
C,G,B,4,3,2,8,A,7,9,5,6,D,F,E,1
G,8,9,6,C,D,3,F,2,1,A,7,4,E,5,B
E,2,A,B,1,5,4,6,F,3,8,D,7,9,C,G
1,3,C,5,G,A,9,7,4,6,E,B,8,2,F,D
F,7,4,D,E,8,2,B,9,5,G,C,1,3,A,6
7,C,D,E,2,1,6,8,A,F,9,3,5,B,G,4
B,5,2,G,9,C,E,3,8,7,6,4,F,1,D,A
9,4,6,3,A,F,B,5,1,D,C,G,E,7,2,8
A,1,F,8,7,4,D,G,E,B,2,5,9,C,6,3
D,9,7,2,8,E,A,1,5,G,4,F,B,6,3,C
4,6,G,A,B,3,F,D,C,8,7,E,2,5,1,9
5,E,3,C,4,9,7,2,6,A,B,1,G,D,8,F
8,B,1,F,5,6,G,C,3,2,D,9,A,4,7,E
